# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
gain	29	N35	0.1284	0.6151	0.01528	2	0.5546	0.5596
loss	29	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.4657	0.4713
gain	29	N36	0.675	1.162	0.09281	2	0.2896	0.3264
loss	29	N36	0.675	1.162	0.09281	2	0.6354	0.7669
gain	30	N2	0.1189	0.1189	0.1629	3	0.1752	0.1769
loss	30	N2	0.1189	0.1189	0.1629	3	0.08391	0.08467
loss	30	N4	0.09654	0.2155	0.1023	3	0.412	0.4149
loss	30	N8	0.102	0.3178	7.569e-08	2	0.07152	0.072
gain	30	N9	0.08611	0.4039	0.162	2	0.46	0.4625
gain	30	N10	0.09368	0.4976	0.06827	3	0.2493	0.2509
gain	30	N12	0.05066	0.5631	0.002765	2	0.2966	0.2971
gain	30	Yersinia_pestis	0.2301	0.7426	0	1	0.05434	0.0552
loss	30	Yersinia_pestis	0.2301	0.7426	0	1	0.7339	0.7617
gain	30	N15	0.8811	1.379	1.882e-11	2	0.4474	0.5384
loss	30	N15	0.8811	1.379	1.882e-11	2	0.853	1.203
gain	30	Vibrio_cholerae	0.2741	0.6781	0	1	0.6261	0.6584
loss	30	Vibrio_cholerae	0.2741	0.6781	0	1	0.1072	0.11
gain	30	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.3046	0.3319
loss	30	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.3472	0.3832
gain	30	N17	1.124	1.34	0.001039	2	0.6686	0.9185
loss	30	N17	1.124	1.34	0.001039	2	0.6922	0.9698
gain	30	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.05138	0.05191
loss	30	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.1017	0.1033
loss	30	N18	0.08709	0.3028	0.08119	2	0.05384	0.05411
gain	30	N20	0.09521	0.4427	0.03546	2	0.08671	0.08724
gain	30	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.926	0.9354
loss	30	Sinorhizobium_meliloti	0.03546	0.4781	0	1	0.07902	0.07909
gain	30	Brucella_melitensis	0.3466	0.6941	0	1	0.1803	0.1881
loss	30	Brucella_melitensis	0.3466	0.6941	0	1	0.1902	0.1989
gain	30	Caulobacter_vibrioides	0.1842	0.487	0	1	0.0624	0.06319
loss	30	Caulobacter_vibrioides	0.1842	0.487	0	1	0.08463	0.086
gain	30	N22	1.46	1.676	4.898e-06	2	0.7816	1.237
loss	30	N22	1.46	1.676	4.898e-06	2	0.7977	1.289
gain	30	N23	0.8467	2.523	2.697e-11	2	0.5416	0.666
loss	30	N23	0.8467	2.523	2.697e-11	2	0.5416	0.666
gain	30	N25	1.647	1.787	0.4354	2	0.8664	1.569
loss	30	N25	1.647	1.787	0.4354	2	0.8845	1.656
gain	30	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7397	1.134
loss	30	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8681	1.511
gain	30	N26	0.1288	1.916	0.3067	2	0.1749	0.1768
loss	30	N26	0.1288	1.916	0.3067	2	0.09869	0.09974
gain	30	Aquifex_aeolicus	2.838	4.754	0	1	0.9466	2.423
loss	30	Aquifex_aeolicus	2.838	4.754	0	1	0.9796	2.877
gain	30	Thermotoga_maritima	0.3067	2.222	0	1	0.6412	0.682
loss	30	Thermotoga_maritima	0.3067	2.222	0	1	0.1319	0.1363
gain	30	N27	0.05299	0.193	0.2036	2	0.082	0.08217
gain	30	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1596	0.1672
loss	30	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.6151	0.6759
gain	30	N28	0.2036	0.3966	8.132e-08	2	0.5414	0.557
loss	30	N28	0.2036	0.3966	8.132e-08	2	0.06473	0.06568
gain	30	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.09778	0.09936
loss	30	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.09778	0.09936
gain	30	N29	0.08048	0.1994	0.08246	2	0.2214	0.2225
gain	30	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1249	0.1297
loss	30	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.7086	0.7703
gain	30	N30	0.08246	0.2819	2.435e-11	2	0.3696	0.3714
gain	30	N31	0.3418	0.3418	0.174	2	0.2251	0.2378
loss	30	N31	0.3418	0.3418	0.174	2	0.3931	0.4205
gain	30	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.05092	0.05147
loss	30	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.2219	0.2263
gain	30	N32	0.1448	0.4867	0.1437	3	0.1562	0.1584
loss	30	N32	0.1448	0.4867	0.1437	3	0.09549	0.0967
gain	30	Listeria_innocua	0.243	0.7296	0	1	0.0879	0.08972
loss	30	Listeria_innocua	0.243	0.7296	0	1	0.3142	0.3263
loss	30	N35	0.1284	0.6151	0.01528	2	0.2531	0.2561
gain	30	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.7752	0.7869
gain	30	N36	0.675	1.162	0.09281	2	0.5033	0.6009
loss	30	N36	0.675	1.162	0.09281	2	0.5208	0.625
loss	30	Streptococcus_pyogenes_M1	0.09281	1.254	0	1	0.2264	0.2278
gain	30	Streptococcus_pneumoniae_TIGR4	0.09392	1.256	0	1	0.792	0.7972
loss	30	Lactococcus_lactis	0.1139	1.276	0	1	0.233	0.2352
gain	31	N2	0.1189	0.1189	0.1629	3	0.2495	0.2521
loss	31	N2	0.1189	0.1189	0.1629	3	0.05471	0.05515
gain	31	N4	0.09654	0.2155	0.1023	3	0.1459	0.1468
gain	31	N8	0.102	0.3178	7.569e-08	2	0.1312	0.1321
loss	31	N9	0.08611	0.4039	0.162	2	0.1409	0.1416
gain	31	N10	0.09368	0.4976	0.06827	3	0.07291	0.07333
loss	31	N10	0.09368	0.4976	0.06827	3	0.06116	0.06151
gain	31	N12	0.05066	0.5631	0.002765	2	0.1084	0.1087
loss	31	Yersinia_pestis	0.2301	0.7426	0	1	0.9064	0.9415
gain	31	N15	0.8811	1.379	1.882e-11	2	0.4133	0.4895
loss	31	N15	0.8811	1.379	1.882e-11	2	0.951	1.376
gain	31	Vibrio_cholerae	0.2741	0.6781	0	1	0.06315	0.0644
loss	31	Vibrio_cholerae	0.2741	0.6781	0	1	0.8904	0.9388
gain	31	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1847	0.1967
loss	31	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.9253	1.087
gain	31	N17	1.124	1.34	0.001039	2	0.5467	0.7052
loss	31	N17	1.124	1.34	0.001039	2	0.9653	1.596
loss	31	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.8964	0.9149
gain	31	N18	0.08709	0.3028	0.08119	2	0.07856	0.07896
loss	31	N20	0.09521	0.4427	0.03546	2	0.8263	0.8319
loss	31	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.1191	0.1202
loss	31	Sinorhizobium_meliloti	0.03546	0.4781	0	1	0.09633	0.09642
gain	31	Brucella_melitensis	0.3466	0.6941	0	1	0.09243	0.09521
loss	31	Brucella_melitensis	0.3466	0.6941	0	1	0.9316	1.011
gain	31	Mesorhizobium_loti	0.03647	0.384	0	1	0.08666	0.08675
gain	31	Caulobacter_vibrioides	0.1842	0.487	0	1	0.1445	0.1473
loss	31	Caulobacter_vibrioides	0.1842	0.487	0	1	0.07734	0.07836
gain	31	N22	1.46	1.676	4.898e-06	2	0.6925	1.017
loss	31	N22	1.46	1.676	4.898e-06	2	0.9775	1.907
gain	31	N23	0.8467	2.523	2.697e-11	2	0.5459	0.6717
loss	31	N23	0.8467	2.523	2.697e-11	2	0.5459	0.6717
loss	31	N24	0.02108	0.1401	0.2566	3	0.09563	0.09566
gain	31	N25	1.647	1.787	0.4354	2	0.8233	1.42
loss	31	N25	1.647	1.787	0.4354	2	0.9402	1.871
gain	31	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7605	1.179
loss	31	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8385	1.422
gain	31	N26	0.1288	1.916	0.3067	2	0.09963	0.1007
loss	31	N26	0.1288	1.916	0.3067	2	0.129	0.1305
gain	31	Aquifex_aeolicus	2.838	4.754	0	1	0.9572	2.509
loss	31	Aquifex_aeolicus	2.838	4.754	0	1	0.9693	2.722
gain	31	Thermotoga_maritima	0.3067	2.222	0	1	0.1332	0.1376
loss	31	Thermotoga_maritima	0.3067	2.222	0	1	0.3317	0.3504
loss	31	N27	0.05299	0.193	0.2036	2	0.2197	0.2201
gain	31	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1637	0.1716
loss	31	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.5993	0.6585
gain	31	N28	0.2036	0.3966	8.132e-08	2	0.05386	0.0546
loss	31	N28	0.2036	0.3966	8.132e-08	2	0.526	0.5416
gain	31	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.07611	0.07728
loss	31	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.07611	0.07728
gain	31	N29	0.08048	0.1994	0.08246	2	0.0962	0.09664
gain	31	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1066	0.1103
loss	31	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.8657	0.9438
gain	31	N30	0.08246	0.2819	2.435e-11	2	0.1799	0.1807
gain	31	N31	0.3418	0.3418	0.174	2	0.2846	0.3021
loss	31	N31	0.3418	0.3418	0.174	2	0.4119	0.4408
loss	31	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.4813	0.4916
gain	31	N32	0.1448	0.4867	0.1437	3	0.4087	0.4149
loss	31	N32	0.1448	0.4867	0.1437	3	0.05173	0.05226
gain	31	Listeria_innocua	0.243	0.7296	0	1	0.05431	0.0552
loss	31	Listeria_innocua	0.243	0.7296	0	1	0.8315	0.867
gain	31	N35	0.1284	0.6151	0.01528	2	0.2155	0.218
gain	31	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.2282	0.2314
gain	31	N36	0.675	1.162	0.09281	2	0.3046	0.3409
loss	31	N36	0.675	1.162	0.09281	2	0.8913	1.141
gain	32	N15	0.8811	1.379	1.882e-11	2	0.0562	0.05754
loss	32	N15	0.8811	1.379	1.882e-11	2	0.0561	0.05743
loss	32	N17	1.124	1.34	0.001039	2	1	1.029
loss	32	N20	0.09521	0.4427	0.03546	2	0.9562	0.9564
loss	32	Brucella_melitensis	0.3466	0.6941	0	1	0.9783	0.9811
gain	32	N22	1.46	1.676	4.898e-06	2	0.1402	0.1479
loss	32	N22	1.46	1.676	4.898e-06	2	0.1402	0.1479
loss	32	N23	0.8467	2.523	2.697e-11	2	1	1.017
gain	32	N25	1.647	1.787	0.4354	2	0.1615	0.1708
loss	32	N25	1.647	1.787	0.4354	2	0.1937	0.2095
gain	32	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1627	0.1743
loss	32	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1279	0.1338
gain	32	Aquifex_aeolicus	2.838	4.754	0	1	0.4048	0.4649
loss	32	Aquifex_aeolicus	2.838	4.754	0	1	0.3852	0.4335
loss	32	N29	0.08048	0.1994	0.08246	2	0.8456	0.8457
loss	32	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.159	0.1596
loss	32	N30	0.08246	0.2819	2.435e-11	2	0.1526	0.1526
gain	33	N2	0.1189	0.1189	0.1629	3	0.2761	0.2763
gain	33	N15	0.8811	1.379	1.882e-11	2	0.1441	0.1516
loss	33	N15	0.8811	1.379	1.882e-11	2	0.1437	0.151
gain	33	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.053	0.05401
loss	33	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.05237	0.05335
gain	33	N17	1.124	1.34	0.001039	2	0.07177	0.07534
loss	33	N17	1.124	1.34	0.001039	2	0.9991	1.074
loss	33	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.9989	1.001
gain	33	N22	1.46	1.676	4.898e-06	2	0.1126	0.1215
loss	33	N22	1.46	1.676	4.898e-06	2	0.9996	1.121
gain	33	N23	0.8467	2.523	2.697e-11	2	0.09526	0.09921
loss	33	N23	0.8467	2.523	2.697e-11	2	0.09526	0.09921
gain	33	N25	1.647	1.787	0.4354	2	0.1699	0.1906
loss	33	N25	1.647	1.787	0.4354	2	0.9301	1.066
gain	33	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1911	0.2103
loss	33	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2961	0.3327
gain	33	Aquifex_aeolicus	2.838	4.754	0	1	0.4146	0.5381
loss	33	Aquifex_aeolicus	2.838	4.754	0	1	0.4698	0.6277
loss	33	Thermotoga_maritima	0.3067	2.222	0	1	0.1038	0.1046
loss	33	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.9913	0.9993
loss	33	N31	0.3418	0.3418	0.174	2	0.695	0.6999
gain	33	N36	0.675	1.162	0.09281	2	0.0662	0.06804
loss	33	N36	0.675	1.162	0.09281	2	0.06687	0.06876
gain	34	N8	0.102	0.3178	7.569e-08	2	0.9962	0.9967
gain	34	N15	0.8811	1.379	1.882e-11	2	0.09309	0.09862
loss	34	N15	0.8811	1.379	1.882e-11	2	0.09275	0.09817
gain	34	N17	1.124	1.34	0.001039	2	0.09881	0.1055
loss	34	N17	1.124	1.34	0.001039	2	0.1015	0.1093
gain	34	N22	1.46	1.676	4.898e-06	2	0.1442	0.1584
loss	34	N22	1.46	1.676	4.898e-06	2	0.1465	0.1622
gain	34	N23	0.8467	2.523	2.697e-11	2	0.06406	0.06695
loss	34	N23	0.8467	2.523	2.697e-11	2	0.06406	0.06696
gain	34	N25	1.647	1.787	0.4354	2	0.629	0.6921
loss	34	N25	1.647	1.787	0.4354	2	0.1269	0.1422
gain	34	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1043	0.1144
loss	34	Fusobacterium_nucleatum	1.445	3.232	0	1	0.6169	0.6661
gain	34	N26	0.1288	1.916	0.3067	2	0.112	0.1121
gain	34	Aquifex_aeolicus	2.838	4.754	0	1	0.247	0.3061
loss	34	Aquifex_aeolicus	2.838	4.754	0	1	0.7709	0.9616
gain	34	Thermotoga_maritima	0.3067	2.222	0	1	0.3525	0.3541
gain	35	N2	0.1189	0.1189	0.1629	3	0.1809	0.1821
gain	35	N4	0.09654	0.2155	0.1023	3	0.1194	0.1199
gain	35	Yersinia_pestis	0.2301	0.7426	0	1	0.06515	0.06637
loss	35	Yersinia_pestis	0.2301	0.7426	0	1	0.05949	0.06048
gain	35	N15	0.8811	1.379	1.882e-11	2	0.2056	0.233
loss	35	N15	0.8811	1.379	1.882e-11	2	0.9951	1.223
gain	35	Vibrio_cholerae	0.2741	0.6781	0	1	0.0926	0.09509
loss	35	Vibrio_cholerae	0.2741	0.6781	0	1	0.08291	0.08488
gain	35	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.0835	0.08746
loss	35	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.9967	1.083
gain	35	N17	1.124	1.34	0.001039	2	0.2876	0.3463
loss	35	N17	1.124	1.34	0.001039	2	0.9982	1.342
gain	35	Brucella_melitensis	0.3466	0.6941	0	1	0.1302	0.1352
loss	35	Brucella_melitensis	0.3466	0.6941	0	1	0.1298	0.1347
gain	35	N22	1.46	1.676	4.898e-06	2	0.3942	0.5194
loss	35	N22	1.46	1.676	4.898e-06	2	0.9987	1.515
gain	35	N23	0.8467	2.523	2.697e-11	2	0.3199	0.3714
loss	35	N23	0.8467	2.523	2.697e-11	2	0.3199	0.3714
loss	35	N24	0.02108	0.1401	0.2566	3	0.12	0.1201
gain	35	N25	1.647	1.787	0.4354	2	0.5437	0.7958
loss	35	N25	1.647	1.787	0.4354	2	0.8748	1.371
gain	35	Fusobacterium_nucleatum	1.445	3.232	0	1	0.5073	0.6881
loss	35	Fusobacterium_nucleatum	1.445	3.232	0	1	0.6155	0.8798
gain	35	N26	0.1288	1.916	0.3067	2	0.05322	0.05364
loss	35	N26	0.1288	1.916	0.3067	2	0.08611	0.08671
gain	35	Aquifex_aeolicus	2.838	4.754	0	1	0.7877	1.532
loss	35	Aquifex_aeolicus	2.838	4.754	0	1	0.8272	1.691
gain	35	Thermotoga_maritima	0.3067	2.222	0	1	0.06805	0.06977
loss	35	Thermotoga_maritima	0.3067	2.222	0	1	0.2204	0.2284
loss	35	N27	0.05299	0.193	0.2036	2	0.2806	0.2809
gain	35	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.08167	0.08468
loss	35	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.5472	0.5764
loss	35	N28	0.2036	0.3966	8.132e-08	2	0.5101	0.5178
loss	35	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.9142	0.9536
gain	35	N30	0.08246	0.2819	2.435e-11	2	0.1041	0.1044
gain	35	N31	0.3418	0.3418	0.174	2	0.1382	0.1441
loss	35	N31	0.3418	0.3418	0.174	2	0.3354	0.3501
loss	35	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.5377	0.5425
gain	35	N32	0.1448	0.4867	0.1437	3	0.2469	0.249
gain	35	Listeria_innocua	0.243	0.7296	0	1	0.3106	0.3183
loss	35	Listeria_innocua	0.243	0.7296	0	1	0.05139	0.05227
gain	35	N35	0.1284	0.6151	0.01528	2	0.2741	0.2761
loss	35	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.7405	0.7455
gain	35	N36	0.675	1.162	0.09281	2	0.2134	0.2393
loss	35	N36	0.675	1.162	0.09281	2	0.7193	0.8134
loss	35	Streptococcus_pyogenes_M1	0.09281	1.254	0	1	0.1671	0.1676
loss	35	Streptococcus_pneumoniae_TIGR4	0.09392	1.256	0	1	0.1673	0.1678
gain	35	Lactococcus_lactis	0.1139	1.276	0	1	0.8426	0.8465
gain	36	N2	0.1189	0.1189	0.1629	3	0.3188	0.3209
gain	36	N8	0.102	0.3178	7.569e-08	2	0.06393	0.0643
loss	36	N9	0.08611	0.4039	0.162	2	0.1063	0.1067
gain	36	N12	0.05066	0.5631	0.002765	2	0.08727	0.08738
loss	36	Yersinia_pestis	0.2301	0.7426	0	1	0.9211	0.9418
gain	36	N15	0.8811	1.379	1.882e-11	2	0.2557	0.2952
loss	36	N15	0.8811	1.379	1.882e-11	2	0.9479	1.204
loss	36	Vibrio_cholerae	0.2741	0.6781	0	1	0.9115	0.9401
gain	36	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1066	0.1125
loss	36	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.9628	1.062
gain	36	N17	1.124	1.34	0.001039	2	0.3436	0.4243
loss	36	N17	1.124	1.34	0.001039	2	0.9795	1.374
gain	36	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.08669	0.0879
loss	36	N18	0.08709	0.3028	0.08119	2	0.8032	0.8057
loss	36	N19	0.04472	0.3475	0.03648	3	0.1341	0.1342
gain	36	Brucella_melitensis	0.3466	0.6941	0	1	0.1099	0.1139
loss	36	Brucella_melitensis	0.3466	0.6941	0	1	0.1262	0.1316
loss	36	Caulobacter_vibrioides	0.1842	0.487	0	1	0.1801	0.1831
gain	36	N22	1.46	1.676	4.898e-06	2	0.4577	0.626
loss	36	N22	1.46	1.676	4.898e-06	2	0.9851	1.575
gain	36	N23	0.8467	2.523	2.697e-11	2	0.3655	0.4321
loss	36	N23	0.8467	2.523	2.697e-11	2	0.3655	0.4321
gain	36	N25	1.647	1.787	0.4354	2	0.5754	0.8738
loss	36	N25	1.647	1.787	0.4354	2	0.9565	1.608
gain	36	Fusobacterium_nucleatum	1.445	3.232	0	1	0.5578	0.7868
loss	36	Fusobacterium_nucleatum	1.445	3.232	0	1	0.6618	0.9913
gain	36	N26	0.1288	1.916	0.3067	2	0.06254	0.06309
loss	36	N26	0.1288	1.916	0.3067	2	0.09567	0.09644
gain	36	Aquifex_aeolicus	2.838	4.754	0	1	0.8211	1.729
loss	36	Aquifex_aeolicus	2.838	4.754	0	1	0.8557	1.9
gain	36	Thermotoga_maritima	0.3067	2.222	0	1	0.08121	0.08346
loss	36	Thermotoga_maritima	0.3067	2.222	0	1	0.2445	0.2547
gain	36	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.07121	0.07372
loss	36	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.9239	0.9802
gain	36	N28	0.2036	0.3966	8.132e-08	2	0.1434	0.1465
loss	36	N28	0.2036	0.3966	8.132e-08	2	0.05227	0.053
gain	36	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.05751	0.05833
loss	36	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.05751	0.05833
gain	36	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1856	0.1948
loss	36	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1624	0.1695
gain	36	N31	0.3418	0.3418	0.174	2	0.09069	0.0943
loss	36	N31	0.3418	0.3418	0.174	2	0.6378	0.6662
loss	36	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.1136	0.1153
loss	36	N32	0.1448	0.4867	0.1437	3	0.09637	0.09734
gain	36	Listeria_innocua	0.243	0.7296	0	1	0.06101	0.06214
loss	36	Listeria_innocua	0.243	0.7296	0	1	0.07584	0.0776
gain	36	N36	0.675	1.162	0.09281	2	0.2838	0.3194
loss	36	N36	0.675	1.162	0.09281	2	0.2913	0.3295
gain	37	N17	1.124	1.34	0.001039	2	0.06885	0.07002
loss	37	N17	1.124	1.34	0.001039	2	0.06885	0.07002
gain	37	N22	1.46	1.676	4.898e-06	2	0.114	0.117
loss	37	N22	1.46	1.676	4.898e-06	2	0.114	0.117
loss	37	N24	0.02108	0.1401	0.2566	3	0.12	0.12
gain	37	N25	1.647	1.787	0.4354	2	0.1838	0.1904
loss	37	N25	1.647	1.787	0.4354	2	0.2494	0.2597
loss	37	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8267	0.8552
gain	37	Aquifex_aeolicus	2.838	4.754	0	1	0.1399	0.1485
loss	37	Aquifex_aeolicus	2.838	4.754	0	1	0.889	1
gain	37	Thermotoga_maritima	0.3067	2.222	0	1	0.1525	0.1528
loss	37	N27	0.05299	0.193	0.2036	2	0.5239	0.5239
loss	37	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.3599	0.3609
loss	37	N28	0.2036	0.3966	8.132e-08	2	0.3565	0.3568
loss	37	Streptococcus_pyogenes_M1	0.09281	1.254	0	1	0.9964	0.9965
loss	38	N4	0.09654	0.2155	0.1023	3	0.9634	0.9639
gain	38	N15	0.8811	1.379	1.882e-11	2	0.09618	0.1017
loss	38	N15	0.8811	1.379	1.882e-11	2	0.09705	0.1028
gain	38	N17	1.124	1.34	0.001039	2	0.1367	0.1482
loss	38	N17	1.124	1.34	0.001039	2	0.1406	0.1533
gain	38	N22	1.46	1.676	4.898e-06	2	0.1939	0.2183
loss	38	N22	1.46	1.676	4.898e-06	2	0.1983	0.2244
gain	38	N23	0.8467	2.523	2.697e-11	2	0.09065	0.0956
loss	38	N23	0.8467	2.523	2.697e-11	2	0.09065	0.0956
gain	38	N25	1.647	1.787	0.4354	2	0.2685	0.3116
loss	38	N25	1.647	1.787	0.4354	2	0.4461	0.5286
gain	38	Fusobacterium_nucleatum	1.445	3.232	0	1	0.1328	0.1496
loss	38	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8246	0.9066
gain	38	N26	0.1288	1.916	0.3067	2	0.06412	0.06424
gain	38	Aquifex_aeolicus	2.838	4.754	0	1	0.3	0.3965
loss	38	Aquifex_aeolicus	2.838	4.754	0	1	0.9092	1.204
gain	38	Thermotoga_maritima	0.3067	2.222	0	1	0.2053	0.2074
loss	38	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.9726	0.9802
gain	38	N31	0.3418	0.3418	0.174	2	0.05869	0.05982
loss	38	N36	0.675	1.162	0.09281	2	0.9988	1.027
gain	39	N2	0.1189	0.1189	0.1629	3	0.2408	0.2431
loss	39	N2	0.1189	0.1189	0.1629	3	0.05895	0.05944
loss	39	N4	0.09654	0.2155	0.1023	3	0.2562	0.2578
loss	39	N8	0.102	0.3178	7.569e-08	2	0.412	0.415
gain	39	N9	0.08611	0.4039	0.162	2	0.1879	0.1889
gain	39	N10	0.09368	0.4976	0.06827	3	0.353	0.3552
gain	39	N11	0.01484	0.5125	0.05343	2	0.06456	0.06457
gain	39	N12	0.05066	0.5631	0.002765	2	0.4318	0.4326
gain	39	Yersinia_pestis	0.2301	0.7426	0	1	0.05804	0.05899
loss	39	Yersinia_pestis	0.2301	0.7426	0	1	0.6067	0.629
gain	39	N15	0.8811	1.379	1.882e-11	2	0.4531	0.5483
loss	39	N15	0.8811	1.379	1.882e-11	2	0.7666	1.057
gain	39	Vibrio_cholerae	0.2741	0.6781	0	1	0.1067	0.1095
loss	39	Vibrio_cholerae	0.2741	0.6781	0	1	0.2732	0.2854
gain	39	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.2413	0.2608
loss	39	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.5757	0.6608
gain	39	N17	1.124	1.34	0.001039	2	0.5926	0.7909
loss	39	N17	1.124	1.34	0.001039	2	0.7856	1.191
loss	39	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.4297	0.438
gain	39	N18	0.08709	0.3028	0.08119	2	0.3482	0.35
gain	39	N19	0.04472	0.3475	0.03648	3	0.05717	0.05725
loss	39	N20	0.09521	0.4427	0.03546	2	0.6899	0.6943
loss	39	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.1006	0.1015
loss	39	Sinorhizobium_meliloti	0.03546	0.4781	0	1	0.07879	0.07886
gain	39	Brucella_melitensis	0.3466	0.6941	0	1	0.101	0.1043
loss	39	Brucella_melitensis	0.3466	0.6941	0	1	0.7996	0.864
gain	39	Mesorhizobium_loti	0.03647	0.384	0	1	0.2425	0.2428
gain	39	Caulobacter_vibrioides	0.1842	0.487	0	1	0.3271	0.334
loss	39	Caulobacter_vibrioides	0.1842	0.487	0	1	0.0626	0.06339
gain	39	N22	1.46	1.676	4.898e-06	2	0.718	1.094
loss	39	N22	1.46	1.676	4.898e-06	2	0.8526	1.495
gain	39	N23	0.8467	2.523	2.697e-11	2	0.5206	0.6381
loss	39	N23	0.8467	2.523	2.697e-11	2	0.5206	0.6381
gain	39	N25	1.647	1.787	0.4354	2	0.8001	1.371
loss	39	N25	1.647	1.787	0.4354	2	0.9103	1.756
gain	39	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7322	1.124
loss	39	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8129	1.36
gain	39	N26	0.1288	1.916	0.3067	2	0.09447	0.09546
loss	39	N26	0.1288	1.916	0.3067	2	0.124	0.1253
gain	39	Aquifex_aeolicus	2.838	4.754	0	1	0.9379	2.4
loss	39	Aquifex_aeolicus	2.838	4.754	0	1	0.9528	2.606
gain	39	Thermotoga_maritima	0.3067	2.222	0	1	0.1259	0.13
loss	39	Thermotoga_maritima	0.3067	2.222	0	1	0.3188	0.3363
gain	39	N27	0.05299	0.193	0.2036	2	0.05799	0.0581
gain	39	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1383	0.1445
loss	39	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.7072	0.7768
gain	39	N28	0.2036	0.3966	8.132e-08	2	0.4273	0.4386
loss	39	N28	0.2036	0.3966	8.132e-08	2	0.06991	0.07096
gain	39	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.09299	0.09449
loss	39	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.09299	0.09449
